muhammadjafar_iqbal,Count,farseem_m_mohammodi,Count,hasan_mamun,Count,d-m-anwar_hosen,Count,amnullah_kabir,Count,mm_akash,Count,chiro_ranjan,Count,q_r_islam,Count,anu_mohammad,Count,afsan_chowdhury,Count
#,9606,#,7438,#,7263,#,5246,#,4267,#,4459,#,4436,#,3403,#,2907,#,2044
$,9606,$,7438,$,7263,$,5246,$,4266,$,4459,$,4436,$,3403,$,2907,$,2044
না,1408,এই,982,না,1044,ও,516,ও,659,না,459,না,470,করে,447,ও,433,এই,276
করে,1321,করে,673,এ,527,এবং,398,না,427,হবে,408,ও,327,ও,393,এই,300,না,249
এই,1102,ও,626,ও,465,করে,356,করে,381,যে,362,করে,319,থেকে,350,করে,223,যে,237
আমি,1046,হয়,565,তারা,451,না,305,যে,326,এ,354,এই,243,হয়,292,থেকে,173,করে,169
আমার,911,না,545,করে,449,থেকে,300,তা,307,করে,345,করা,218,এই,268,না,172,ও,145
একটা,836,এবং,506,তাদের,397,এই,280,জন্য,280,ও,324,হবে,217,না,234,যে,164,হয়,145
তাদের,653,যে,474,এর,378,তার,251,নির্বাচন,275,এবং,292,যে,214,করা,200,হয়,163,তার,133
জন্যে,604,যায়,437,তার,372,এ,229,হবে,258,এই,271,হয়,210,বা,192,জন্য,145,আমাদের,133
আমাদের,583,থেকে,403,হবে,361,যে,229,তার,253,হচ্ছে,236,তাদের,193,এবং,185,আর,135,তাদের,120
নিয়ে,582,বা,391,যে,358,হবে,214,হয়েছে,242,থেকে,216,এবং,180,জন্য,161,তাদের,130,এটা,120
হয়,551,আমাদের,376,সরকার,348,তা,208,তাদের,232,করতে,213,এ,174,এ,152,তার,129,কিন্তু,116
সেই,541,কিন্তু,364,কিন্তু,343,করতে,189,করা,230,তাদের,205,করতে,170,বীজ,142,এর,129,ছিল,115
যে,538,একটি,352,হয়ে,322,হয়,183,এই,229,কিন্তু,199,জন্য,165,দাম,135,বাংলাদেশের,126,এবং,115
তার,511,করা,309,কোনো,298,কথা,182,আওয়ামী,217,একটি,198,বা,157,হয়ে,135,এবং,123,করা,106
দেশের,502,আমরা,307,করা,293,তাদের,180,সরকার,205,আমরা,185,তার,156,এক,134,করা,119,একটি,92
কোনো,502,কোনো,283,তো,292,আমরা,173,রাজনৈতিক,202,বা,183,আমাদের,153,বৃদ্ধি,129,নিয়ে,117,বা,92
থেকে,493,বিজ্ঞান,273,করতে,287,একটি,170,সঙ্গে,198,তারা,182,থেকে,151,হবে,122,হয়েছে,113,জন্য,90
তারা,481,তার,271,বলে,280,সে,169,সরকারের,198,আমাদের,180,কোনো,146,যে,121,বা,110,নয়,88
করতে,476,এক,260,বা,275,হয়েছে,165,থেকে,186,করা,177,তারা,142,করতে,119,করতে,106,তারা,85
কিন্তু,460,হবে,240,হয়,272,আমাদের,163,এ,174,হয়েছে,177,হয়েছে,136,প্রতি,119,কিন্তু,104,থেকে,85
আমরা,453,একটা,239,নিয়ে,268,করা,158,হয়ে,162,ছিল,176,আর,132,ধান,113,হবে,99,সেটা,83
হবে,430,এর,239,থেকে,250,জন্য,158,শেখ,155,জন্য,172,নয়,126,টাকা,110,গ্যাস,97,আর,83
কথা,423,আছে,239,আর,239,আমি,149,হয়,152,তার,171,কিন্তু,125,আর,110,যায়,91,তিনি,82
হয়ে,406,করতে,232,কি,236,সঙ্গে,147,কোনো,150,হয়,157,আমরা,117,উৎপাদন,109,তা,90,কথা,80
তখন,373,দেখা,223,হয়েছে,235,ছিল,145,এবং,147,এর,141,আওয়ামী,117,পারে,109,দিয়ে,90,যায়,78
এবং,372,হলো,216,বিএনপি,230,আমার,141,বা,146,তা,130,নিয়ে,115,কোন,109,কোন,87,আমরা,77
দিয়ে,357,থাকে,208,মনে,220,তিনি,141,বিএনপি,145,সে,125,পারে,111,খাদ্য,107,নয়,82,করতে,76
কিছু,349,আর,207,হচ্ছে,219,তারা,129,তিনি,143,তিনি,123,এক,105,হয়েছে,105,বিভিন্ন,78,হবে,76
নেই,345,জন্য,207,এটা,216,হয়ে,126,খালেদা,140,নয়,123,সঙ্গে,102,সাথে,104,মধ্যে,74,হয়ে,71
সেটা,340,কিছু,195,কিছু,212,এক,122,করতে,136,সরকার,122,কথা,102,জাতের,102,অনেক,73,হয়েছে,68
হয়েছে,331,নয়,194,তা,205,বাংলাদেশের,119,কিন্তু,134,নিয়ে,118,যায়,101,ফলে,101,এ,71,কোন,68
করা,324,ছিল,194,সঙ্গে,202,বিরুদ্ধে,118,নয়,130,এখন,117,সব,101,হাজার,101,দেশের,70,নেই,68
করার,323,তাই,192,রয়েছে,199,নিয়ে,115,তারা,128,মধ্যে,110,হয়ে,101,বেশি,100,বেশি,70,সঙ্গে,67
বড়,314,হয়েছে,181,নয়,194,মুক্তিযুদ্ধের,114,নির্বাচনের,126,যদি,107,মনে,99,সরকার,100,সরকার,70,হচ্ছে,67
যখন,309,সাথে,168,সরকারের,193,হিসেবে,113,ছিল,123,কথা,107,তা,99,দিয়ে,94,সম্পদ,68,এ,65
আর,307,হয়ে,166,আমরা,190,নতুন,110,লীগ,123,আর,105,একটি,97,এর,94,হিসেবে,68,এর,64
মনে,300,পারে,163,কথা,180,এর,108,বিএনপির,114,পারে,104,আছে,97,দেশে,94,কথা,67,সব,63
আছে,299,মনে,161,সেটি,179,করেছে,108,করার,111,এক,103,দলের,91,যায়,93,আমাদের,66,মনে,61
কী,285,তা,158,একটা,174,শেখ,100,নিয়ে,110,সঙ্গে,102,করার,90,হচ্ছে,92,আছে,65,সরকার,60
হচ্ছে,281,তৈরি,156,অবশ্য,172,সেই,99,পর,107,কোনো,101,রাজনৈতিক,88,কম,89,এখন,65,আওয়ামী,59
মানুষ,279,যদি,151,একটি,169,আছে,98,করেছে,101,তাই,98,হচ্ছে,87,থাকে,87,মানুষের,65,কারণ,58
খুব,279,যা,147,কী,165,মধ্যে,97,দলের,99,দিয়ে,96,নেই,87,কেজি,87,বাংলাদেশ,62,কোনো,56
একটি,276,এ,141,ছিল,162,বিশ্ববিদ্যালয়ের,95,হিসেবে,99,রাজনৈতিক,94,মানুষ,86,প্রায়,85,এসব,62,রাজনৈতিক,55
পারে,274,নিয়ে,137,ওই,162,আর,92,মধ্যে,94,হয়ে,94,দিয়ে,84,ধানের,82,ছিল,61,মধ্যে,55
বই,273,কথা,137,হল,162,দিয়ে,91,বাংলাদেশের,94,তখন,91,অনেক,83,আমাদের,79,মার্কিন,61,আছে,55
সে,270,ফলে,133,নির্বাচন,160,তাহের,90,ভারতের,94,যায়,90,সেই,83,নতুন,78,আরও,61,তাই,54
একজন,265,বলে,132,মধ্যে,153,বঙ্গবন্ধু,88,এক,93,রয়েছে,89,দল,83,কৃষি,76,একটি,60,বলে,53
অনেক,264,পৃথিবীর,130,যায়,150,নয়,88,দিয়ে,91,সরকারের,86,ছিল,79,বছর,75,তৈরি,60,এক,53
নয়,262,কী,128,নেই,150,পর,88,আমাদের,91,এটা,84,দেশের,79,সালে,73,টাকা,59,কি,53
দেশে,253,বেশি,128,পর,147,গণতান্ত্রিক,87,দল,91,টাকা,84,কিছু,77,ব্যবহার,73,হচ্ছে,59,নিয়ে,52
যায়,239,তিনি,127,তিনি,143,কোনো,85,প্রধানমন্ত্রী,90,তাহলে,81,কী,77,শুরু,72,জনগণের,58,করার,49
রকম,238,সেই,127,পারে,142,বাংলাদেশ,84,তাঁর,89,একটা,79,বিএনপির,75,বেশী,72,তারা,57,সেই,49
তাই,237,দিয়ে,126,এক,142,মনে,84,দুই,84,সেই,79,এর,75,বলে,71,মানুষ,56,কিছু,48
যদি,232,নেই,123,নাকি,141,কিন্তু,83,হচ্ছে,82,আমি,79,সে,75,ভাগ,71,বিদেশি,56,তবে,47
সবাই,223,বছর,122,যাবে,140,তাঁর,82,নেই,82,বাজেট,78,মধ্যে,73,এখন,71,এক,56,তো,47
এখন,223,আরো,122,সে,140,সালের,79,আর,81,হতে,78,এমন,72,ছিল,70,আমরা,55,কোনও,46
মাঝে,219,অনেক,117,এখন,138,এমন,79,এর,80,কোটি,73,বিএনপি,70,বিক্রি,69,কোটি,55,হিসেবে,45
সেটি,218,মধ্যে,117,বেশি,138,ঢাকা,77,এখন,78,ব্যাংকের,72,কি,69,হতে,69,হয়ে,55,পারে,43
বলে,211,মতো,115,এতে,134,বলে,77,সৃষ্টি,76,মাধ্যমে,71,মানুষের,67,মধ্যে,68,দেশে,54,কী,43
কি,210,সৃষ্টি,115,নির্বাচনে,133,দেশের,77,কথা,76,তৈরি,68,হতে,67,জিএম,66,পর,53,এখন,42
এক,208,প্রায়,114,ক্ষেত্রে,131,হল,77,কারণে,76,সেটা,68,দেওয়া,66,দেশের,66,কারণে,52,বড়,42
দেওয়া,207,তাঁর,112,এমন,130,উপর,75,সে,76,এসব,67,বেশি,66,নিয়ে,65,শতকরা,52,যারা,41
ছিল,205,কারণ,112,মতো,128,তাই,75,লীগের,75,ধরনের,67,একটা,65,চিনি,65,বিদ্যুৎ,52,সরকারের,41
কেউ,205,মানুষের,109,দেশে,127,জাতীয়,75,হাসিনা,73,করার,67,তিনি,65,টন,65,যুক্তরাষ্ট্রের,50,কেউ,40
সব,204,তারা,108,বলা,125,মানুষের,73,বিরোধী,73,আছে,67,দেশে,65,বাংলাদেশে,63,কিংবা,50,অনেক,39
আমাকে,203,সব,106,আমাদের,125,জাহাঙ্গীরনগর,72,প্রধান,72,হিসেবে,66,বিরুদ্ধে,63,পানি,63,কোনো,50,যদি,39
যারা,200,সম্ভব,105,দেশের,122,আরও,72,পারে,71,আওয়ামী,65,যদি,62,তবে,63,জাতীয়,50,সে,39
তাহলে,191,তবে,105,হতে,120,ছাত্র,70,বলে,70,অনেক,64,হিসেবে,62,হাইব্রিড,62,সরকারের,48,ধরনের,38
প্রশ্ন,190,করেন,104,দিয়ে,117,তখন,68,যায়,70,বেশি,64,বলে,60,কোটি,61,তাঁর,47,গেছে,38
শুরু,187,যেমন,103,তাতে,116,সরকার,68,হলেও,69,থাকে,63,এখন,60,সেচ,61,সম্ভব,47,কাজ,38
সঙ্গে,186,শুরু,102,জন্য,116,বিশ্ববিদ্যালয়,65,নতুন,69,শতাংশ,63,তাই,60,পাওয়া,60,নানা,47,কারণে,38
মতো,183,হতে,101,ওপর,114,কী,65,করছে,68,হাজার,61,কাজ,60,আবাদ,58,করেছে,47,শেখ,37
কাছে,179,সালে,101,দল,108,রায়,64,করেছেন,67,সুতরাং,61,সরকার,60,চিনির,57,কাজ,46,এমন,37
পরীক্ষা,178,সকল,99,বড়,108,সময়,64,জিয়া,66,সম্ভব,60,যা,59,বছরে,57,সেই,46,দেওয়া,36
ভালো,176,নতুন,98,ভালো,107,ড,63,দেশের,65,কী,60,মতো,58,শতকরা,57,থাকে,46,তখন,35
এ,175,তাদের,96,বিরোধী,104,একজন,62,নির্বাচনে,65,ব্যাংক,59,সরকারের,58,তার,57,চুক্তি,45,আমার,35
শুধু,171,সেটা,96,এসব,104,করেছেন,62,যা,65,বড়,59,বাংলাদেশের,58,ফসল,56,কোম্পানির,45,ছিলেন,34
পর,170,র,95,দেওয়া,103,কিছু,62,ঘোষণা,64,দিতে,58,যারা,55,মূল্য,56,যদি,44,অন্য,34
জানি,169,ঐ,94,ধরনের,103,শুরু,62,কাছে,64,তবে,58,ক্ষেত্রে,54,বাজারে,55,হল,44,যখন,34
হতে,168,কাজ,92,আরও,99,বিচার,60,কেবল,64,দেশের,57,যাবে,53,মাছ,54,পারে,42,একটা,33
কিংবা,167,খুব,92,কম,98,ধরে,60,মনে,63,কারণ,57,আন্দোলন,53,পরিমাণ,54,কী,42,ভাষা,33
মানুষের,166,বই,92,দেখা,98,খালেদা,59,যাবে,63,অর্থ,57,কাছে,51,উৎপাদিত,53,বিশ্বব্যাংক,42,বলা,33
দিতে,165,পাওয়া,91,তবে,97,যখন,59,হতে,63,গ্রামীণ,57,শক্তি,50,দেয়া,53,ঋণ,41,হতে,33
হল,164,কি,90,সেটা,97,হচ্ছে,59,রয়েছে,62,বলে,56,লীগের,50,তৈরি,52,ভাগ,40,আমি,33
বেশি,163,অর্থাৎ,88,হলে,97,শিক্ষক,59,বলা,62,বাংলাদেশ,56,করেছে,50,ইলিশ,52,প্রায়,40,বিষয়,32
ধরনের,162,কিংবা,88,প্রশ্ন,95,করি,59,তবে,62,কিছু,56,বিভিন্ন,48,জমিতে,52,করবার,40,কাছে,32
সময়,161,তাহলে,87,আওয়ামী,92,গেছে,58,সময়,62,যাবে,56,দায়,47,প্রয়োজন,52,আইএমএফ,39,সালে,31
নিজের,159,এখন,86,যারা,91,করেন,58,নেতা,61,নেই,56,এটা,46,নয়,52,তাই,39,অতএব,31
পরীক্ষার,151,এমন,86,রাজনৈতিক,90,কাছে,57,তাতে,60,আবার,55,লীগ,46,তাদের,51,তিনি,39,করেন,31
কখনও,145,এসব,86,হয়তো,90,বছর,56,জামায়াত,60,দেশে,55,পর,46,কৃষকদের,50,এটা,39,তা,31
কাজ,145,ন্যানো,86,করেছে,90,রাজনৈতিক,56,উপর,59,হলো,55,বড়,46,মনে,49,করেন,38,লীগের,31
ছোট,140,পর,85,এদের,88,হয়েছিল,56,গ্রহণ,59,হয়েছিল,54,তাহলে,45,চাল,48,কাছে,38,মানুষ,30
নূতন,139,আমি,85,আছে,88,হলে,56,বিরুদ্ধে,59,মনে,53,বর্তমান,45,অনেক,47,কারণ,38,সবাই,30
ফাঁস,137,সে,84,বিষয়ে,88,অপরাধ,55,করবে,59,ক্ষেত্রে,53,অধিকার,45,খরচ,47,বহুজাতিক,37,পর,30
আগে,135,তখন,84,বিরুদ্ধে,87,স্বাধীন,54,হয়নি,59,তাকে,53,কেউ,45,গত,47,অর্থ,37,প্রধান,30
বিশ্ববিদ্যালয়ের,133,কম,83,অনেক,86,আন্তর্জাতিক,54,ঘটনা,58,নতুন,52,কেন,45,হলে,47,যা,37,বাংলাদেশের,30
বলতে,133,তো,83,হলেও,86,যায়,54,হলে,58,কাজ,52,রাজনীতি,44,গেছে,46,যুক্তরাষ্ট্র,37,টাকা,29
পড়ে,131,পড়ে,80,নতুন,85,ই,53,এটা,57,করেছে,52,প্রতি,44,কমে,46,বলে,35,ভারত,29
ঠিক,125,আমার,80,দলের,85,হতে,53,জাতীয়,57,এটি,51,বছর,43,সময়,46,মতো,35,তাকে,29
থাকে,125,ব্যাখ্যা,80,দাম,84,তাকে,52,ফলে,56,দল,50,দাবি,43,সরবরাহ,46,দেখা,35,পর্যন্ত,29
চেষ্টা,122,শক্তি,80,হয়েছিল,83,টি,52,কি,56,আমার,49,হলে,43,আমরা,45,নেই,35,হয়নি,29
শেষ,122,বিশেষ,79,বিএনপির,83,বা,52,আরও,55,মতো,49,বলা,42,টাকার,45,শুধু,34,একজন,28
করেছে,120,সম্পর্কে,79,ঘটনা,82,মানুষ,51,বলেছেন,54,বাংলাদেশের,49,নারীর,42,লক্ষ,45,সঙ্গে,34,এত,28
একটু,119,বাংলা,79,এবং,82,করার,51,এমন,53,এখানে,49,বিশ্ববিদ্যালয়ের,42,উপর,44,দারিদ্র,34,বিষয়টি,28
এর,119,বিজ্ঞানের,78,করছে,82,দু,51,করেন,53,পর,49,চায়,41,ফলন,44,নতুন,34,তথ্য,28
হিসেবে,119,বড়,77,কেউ,81,বঙ্গবন্ধুর,50,দেশে,52,সব,49,বিরোধী,41,খেতে,44,সাথে,33,বাম,27
এটা,118,বিভিন্ন,76,করেন,80,যারা,50,কমিশন,51,ফলে,48,বিচার,41,আগে,44,তেল,33,তৈরি,27
